Q&A,INPUT TYPE,REQ?,CODE,EN,EL,PL,IT,ES,DE,PT,NL,FR,RO
,,,q14_a8,Vitamin C,Βιταμίνη C,Witamina C,Vitamina C,Vitamina C,Vitamin C,Vitamina C,Vitamine C,Vitamine C,Vitamina C
,,,q14_a9,Vitamin D,Βιταμίνη D,Witamina D,Vitamina D,Vitamina D,Vitamin-D,Vitamina D,Vitamine  D,Vitamine D,Vitamina D
,,,q14_a10,No Supplements,Χωρίς Συμπληρώματα,Nie zalecam suplementów,Nessun supplemento,Sin Suplementos,Keine Zuschläge,Nenhum suplemento,Geen supplementen,Aucun complément alimentaire,Fara suplimente alimentare
,,,q14_aother,Other,Άλλα,Inne,Altro,Otro,Andere,Outro,anders,Autre,Altele
,,,q14_aother_placeh,Please define,Παρακαλώ διευκρινίστε,Proszę określić,Si prega di definire,Por favor defina,Bitte definiere,Por favor indique qual,namelijk ,Veuillez préciser,Va rog precizati
,Select,YES,q15,What is the interval for introducing low-allergenic foods in non-allergic children? ,Ποιο είναι το διάστημα για την εισαγωγή  μη-αλλεργιογόνων τροφών σε μη αλλεργικά παιδιά;,W jakim odstępie czasowym zaleca Pani/Pan wprowadzanie do diety pokarmów niealergizujących u dzieci bez alergii lub z niskim ryzykiem wystąpienia alergii pokarmowej?,Qual è l'intervallo per l'introduzione di alimenti a basso contenuto di allergeni nei bambini non allergici?,¿Cuál es el intervalo para introducir alimentos poco alergénicos en niños no alérgicos?,Wie groß ist der Zeitabstand für die Einführung allergenarmer Lebensmittel bei nicht allergischen Kindern?,Qual o intervalo para introdução de alimentos pouco alergénicos em crianças não alérgicas?,Welk tijdsinterval adviseert u voor de introductie van laag-allergene vaste voeding bij kinderen met een laag risico op het ontwikkelen van allergie?,Quel est l'intervalle pour l'introduction d'aliments peu allergènes chez les enfants non allergiques ?,Care este intervalul de introducere a alimentelor non-alergenice la copiii nealergici?
,Select,YES,q16,What is the interval for introducing low-allergenic foods in high risk for food allergy children?,Ποιο είναι το διάστημα για την εισαγωγή μη αλλεργιογόνων τροφών σε παιδιά με υψηλό κίνδυνο για τροφική αλλεργία;,W jakim odstępie czasowym zaleca Pani/Pan wprowadzanie do diety pokarmów niealergizujących u dzieci z wysokim ryzykiem alergii pokarmowej?,Qual è l'intervallo per l'introduzione di alimenti a basso contenuto allergenico per i bambini ad alto rischio  per allergia alimentare?,¿Cuál es el intervalo para introducir alimentos poco alergénicos en niños con alto riesgo de alergia alimentaria?,Wie groß ist der Zeitabstand für die Einführung allergenarmer Nahrungsmittel bei Kindern mit hohem Risiko für Nahrungsmittelallergien?,Qual o intervalo para introdução de alimentos pouco alergénicos em crianças de alto risco para alergia alimentar?,Welk tijdsinterval adviseert u voor de introductie van laag-allergene vaste voeding bij kinderen met een hoog risico op het ontwikkelen van allergie?,Quel est l'intervalle pour l'introduction d'aliments peu allergènes chez les enfants à haut risque d'allergie alimentaire ?,Care este intervalul de introducere a alimentelor non-alergenice la copii cu risc crescut de alergie alimentară?
,Select,YES,q17,What is the interval for introducing high-allergenic foods in non-allergic children?,Ποιο είναι το μεσοδιάστημα για την εισαγωγή κοινών αλλεργιογόνων σε μη αλλεργικά παιδιά;,W jakim odstępie czasowym zaleca Pani/Pan wprowadzanie do diety pokarmów potencjalnie alergizujących u dzieci bez alergii lub z niskim ryzykiem wystąpienia alergii pokarmowej?,Qual è l'intervallo per l'introduzione di cibi altamente allergenici nei bambini non allergici?,¿Cuál es el intervalo para introducir alimentos altamente alergénicos en niños no alérgicos?,Wie groß ist der Zeitabstand für die Einführung hochallergener Lebensmittel bei nicht allergischen Kindern?,Qual o intervalo para introdução de alimentos altamente alergénicos em crianças não alérgicas?,Welk tijdsinterval adviseert u voor de introductie van sterk allergene voedingsmiddelen bij kinderen met een laag risico op het ontwikkelen van allergie?,Quel est l'intervalle pour l'introduction d'aliments très allergènes chez les enfants non allergiques ?,Care este intervalul de introducere a alergenilor comuni la copiii nealergici?
,Select,YES,q18,What is the interval for introducing high-allergenic foods in high risk for food allergy children?,Ποιο είναι το μεσοδιάστημα για την εισαγωγή κοινών αλλεργιογόνων σε παιδιά με υψηλό κίνδυνο για τροφική αλλεργία;,W jakim odstępie czasowym zaleca Pani/Pan wprowadzanie do diety pokarmów potencjalnie alergizujących u dzieci z wysokim ryzykiem alergii pokarmowej?,Qual è l'intervallo per l'introduzione di alimenti ad alto contenuto allergenico per i bambini ad alto rischio  per allergia alimentare?,¿Cuál es el intervalo para la introducción de alimentos altamente alergénicos en niños con alto riesgo de alergia alimentaria?,Wie groß ist der Zeitabstand für die Einführung hochallergener Lebensmittel bei Kindern mit hohem Risiko für Lebensmittelallergien?,Qual o intervalo para introdução de alimentos altamente alergénicos em crianças de alto risco para alergia alimentar?,Welk tijdsinterval adviseert u voor de introductie van sterk allergene voedingsmiddelen bij kinderen met een hoog risico op het ontwikkelen van allergie?,Quel est l'intervalle pour l'introduction d'aliments très allergènes chez les enfants à haut risque d'allergie alimentaire ?,Care este intervalul de introducere a alergenilor comuni la copiii cu risc crescut de alergie alimentară?
,,,q15_18_a1,1 day,1 ημέρα,1 dzień,1 giorno,1 día,1 Tag,1 dia,1 dag,1 jour,1 zi
,,,q15_18_a2,1-3 days,1-3 μέρες,1-3 dni,1-3 giorni,1-3 días,1-3 Tage,1-3 dias,1-3 dagen,1 à 3 jours,de la 1 zi la 3 zile
,,,q15_18_a3,>3 days,> 3 ημέρες,> 3 dni,>3 giorni,>3 días,>3 Tage,>3 dias,> 3 dagen,Plus de 3 jours,mai mult de 3 zile
,,,yes,Yes,Ναι,Tak,SÌ,Sí,Ja,Sim,ja,Oui,Da
,,,no,No,Όχι,Nie,NO,No,Nein,Não,nee,Non,Nu
